response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
68,Groovy;Java,Java;Python;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;Supabase,MySQL;Redis;Supabase,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;Podman;Prometheus;Splunk;Terraform;Yarn,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;Prometheus,Spring Boot,FastAPI;Node.js;Spring Boot,Bolt;Cursor;IntelliJ IDEA;Lovable.dev;PyCharm;Sublime Text;Visual Studio Code,Bolt;Cursor;IntelliJ IDEA;Lovable.dev;Visual Studio Code,Gemini (Flash general purpose models);Gemini (Pro Reasoning models),Gemini (Flash general purpose models);Gemini (Pro Reasoning models)
69,JavaScript;Python;R;SQL;TypeScript;VBA,,MariaDB;Microsoft SQL Server;MySQL,,Docker;Kubernetes;Microsoft Azure;Podman;Terraform,,,,Eclipse;Notepad++;Sublime Text;Visual Studio Code,,,
70,C;Python;Rust;SQL,C;Python;Rust;SQL,PostgreSQL,PostgreSQL,,,Flask,Flask,IntelliJ IDEA;PyCharm;RustRover;Vim,IntelliJ IDEA;PyCharm;RustRover;Vim,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models),Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models)
71,Bash/Shell (all shells);Go;Java;Python;SQL,OCaml;Zig,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,Cassandra;Snowflake,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Homebrew;Kubernetes;Make;Maven (build tool);Pip,,FastAPI,,,,,
72,Assembly;C;C++;Python,Assembly;C;C++,,,,,,,,,,
73,C++;Java;Python,C++;Python;Rust,,,,,,,Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models),openAI GPT (chatbot models)
74,Bash/Shell (all shells);HTML/CSS;Python;SQL,Bash/Shell (all shells);Python;SQL,Elasticsearch;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Datadog;Pip;Terraform,Amazon Web Services (AWS);Datadog;Pip;Prometheus;Terraform,Django,Django,Cursor;IntelliJ IDEA;Nano;PyCharm,Cursor;IntelliJ IDEA;PyCharm,Anthropic: Claude Sonnet;openAI GPT (chatbot models),openAI GPT (chatbot models)
75,HTML/CSS;JavaScript;PowerShell;SQL,HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,PostgreSQL,MySQL;PostgreSQL,npm,npm,Node.js,Drupal;jQuery;Node.js;Symfony,Cursor;Visual Studio Code;Windsurf,Windsurf,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);openAI GPT (chatbot models);Perplexity Sonar models,Alibaba Cloud Qwen models;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models)
76,C++;PowerShell,Rust,,,APT;Docker;MSBuild;Ninja,,,,Notepad++;Visual Studio;Visual Studio Code,,,
77,HTML/CSS;JavaScript;Ruby;TypeScript,HTML/CSS;JavaScript;Ruby;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Docker;Heroku;New Relic;npm;Yarn,Docker;Heroku;New Relic;npm;Yarn,Angular;React;Ruby on Rails,React;Ruby on Rails,Cursor;Visual Studio Code,Cursor,,
78,F#;HTML/CSS,F#;HTML/CSS,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Google Cloud;MSBuild;NuGet,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Docker;Google Cloud;MSBuild;NuGet,Angular;ASP.NET Core,Angular;ASP.NET Core,Cursor;Rider;Visual Studio Code,Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models)
79,C#;Python,,,,Amazon Web Services (AWS);npm,,,,Notepad++;Visual Studio;Visual Studio Code,,,
80,Dart,Dart;Go;Kotlin;Swift,SQLite,SQLite,,,,,Android Studio;Xcode,Android Studio;Xcode,,
81,Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,Composer,Composer,jQuery,jQuery,,,,
82,Bash/Shell (all shells);PowerShell,Bash/Shell (all shells),,,,,,,Notepad++;Vim;Visual Studio Code,Claude Code;Notepad++;Vim;Visual Studio Code,,
83,C#;Dart;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Docker;Make;Microsoft Azure;MSBuild;New Relic;npm;NuGet;Pip;pnpm;Poetry;Vite,Cloudflare;Docker;Microsoft Azure;npm;NuGet;Pip,ASP.NET Core;FastAPI;React,Angular;ASP.NET Core;React,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Rider;Visual Studio Code,openAI GPT (chatbot models);openAI Reasoning models,openAI GPT (chatbot models);openAI Reasoning models
84,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;C++;F#;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,MSBuild;NuGet,MSBuild;NuGet,ASP.NET;ASP.NET Core;jQuery;Vue.js,ASP.NET;ASP.NET Core;jQuery;Vue.js,Notepad++;Visual Studio,Notepad++;Visual Studio,openAI GPT (chatbot models);openAI Image generating models,
85,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Cosmos DB;MongoDB;PostgreSQL;SQLite;Valkey,Amazon Web Services (AWS);APT;Chocolatey;Cloudflare;Docker;Google Cloud;Microsoft Azure;MSBuild;NuGet;Pip;Terraform,Cloudflare;Docker;Microsoft Azure;NuGet;Pip;Terraform,ASP.NET Core;FastAPI;Flask;jQuery;Node.js;React;WordPress,FastAPI,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Gemini (Pro Reasoning models)
86,C;C++;Python;Rust,Go,,,Amazon Web Services (AWS);Poetry,Amazon Web Services (AWS),,,Claude Code;Vim;Visual Studio Code,Visual Studio Code,DeepSeek (R- Reasoning models);openAI Reasoning models;X Grok models,DeepSeek (R- Reasoning models);openAI Reasoning models
87,Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,,,,Amazon Web Services (AWS);Docker;Gradle,,Angular;jQuery;Spring Boot;Vue.js,Angular,,,Mistral AI models;openAI GPT (chatbot models),Mistral AI models
88,Assembly;Bash/Shell (all shells);C;C++;Python,C;C++;Rust;Zig,,,Docker;Make;Ninja,Docker;Make;Ninja,,,,,,
89,Ada;Bash/Shell (all shells);Python,,MySQL;PostgreSQL;Redis,,,,Django,,,,,
90,C,,Cloud Firestore,Cloud Firestore,Ansible,Ansible,AngularJS,AngularJS,Bolt,Bolt,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet
91,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,,Django;Express;FastAPI;Fastify;Flask;jQuery;Next.js;Node.js;Nuxt.js;React,Django;Express;FastAPI;Fastify;Flask;jQuery;Next.js;Node.js;Nuxt.js;React,Cursor;Notepad++;PhpStorm;PyCharm;Rider;Sublime Text;Vim;Visual Studio;Visual Studio Code;Windsurf,Cursor;Notepad++;PhpStorm;PyCharm;Rider;Sublime Text;Vim;Visual Studio;Visual Studio Code;Windsurf,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Pro Reasoning models);Mistral AI models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Pro Reasoning models);Mistral AI models
92,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,,,Angular;ASP.NET Core;Blazor,Angular;ASP.NET Core;Blazor,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,,
93,Ada;Bash/Shell (all shells);C;C++,Ada;Bash/Shell (all shells);C;C++;Rust,,,,,,,,,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
94,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,BigQuery;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;Redis,BigQuery;Elasticsearch;Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;Clickhouse,Amazon Web Services (AWS);Ansible;Docker;Google Cloud;Homebrew;Kubernetes;Pip,Amazon Web Services (AWS);Ansible;Docker;Google Cloud;Homebrew;Pip,Django;FastAPI;Flask;jQuery;React,Django;FastAPI;Flask;jQuery,Cursor;IntelliJ IDEA;PyCharm;Vim,IntelliJ IDEA;PyCharm;Vim,openAI GPT (chatbot models),openAI GPT (chatbot models)
95,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Pip;Podman,Pip;Podman,,,,,DeepSeek (R- Reasoning models);openAI GPT (chatbot models),DeepSeek (R- Reasoning models);openAI GPT (chatbot models)
96,C;C++;Lua;Python;SQL,C++;Python;Rust,Oracle;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Docker;Kubernetes,,,,,,,
97,Bash/Shell (all shells);Go;HTML/CSS;Perl;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);Go;PHP;Python;SQL,BigQuery;Cassandra;Databricks SQL;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Cassandra;MariaDB,Amazon Web Services (AWS);Cloudflare;Datadog;Docker;Google Cloud;Homebrew;Kubernetes;Microsoft Azure;Terraform,Amazon Web Services (AWS);Cloudflare;Kubernetes;Terraform,WordPress,WordPress,,,,
98,C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Docker;Google Cloud;Microsoft Azure;npm;NuGet;Pip;Vite,Cloudflare;Docker;Kubernetes;Vite,ASP.NET;ASP.NET Core;React,ASP.NET Core;Blazor;Deno;React;Ruby on Rails,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code;VSCodium,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;openAI GPT (chatbot models)
99,Assembly;C;C++;Python,C;C++;HTML/CSS;Java;JavaScript;Python,,,,,Node.js,React,,,,
100,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Go;HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Ansible;Composer;Docker;Homebrew;Make;Microsoft Azure;npm;Pip,Ansible;Composer;Docker;Homebrew;Make;npm,jQuery;Symfony,React;Symfony,Claude Code;Notepad++;PhpStorm;PyCharm;Sublime Text,Claude Code;Notepad++;PhpStorm;PyCharm;Sublime Text,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
101,C#;SQL,C#;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET;ASP.NET Core,,,,
102,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,,MySQL,,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;Pip;Webpack,Vite;Yarn,Express;Node.js;React,,Notepad++;Visual Studio Code,,,
103,Bash/Shell (all shells);JavaScript;Lua;Python;SQL;TypeScript,Erlang;Go;JavaScript;Ruby;SQL,,,Amazon Web Services (AWS);Docker;Homebrew;Kubernetes;npm;Prometheus,Amazon Web Services (AWS);Bun;Docker;Firebase;npm;Prometheus,Astro;Express;Fastify;jQuery;Node.js;React,Fastify;jQuery;Node.js,Visual Studio Code,Visual Studio Code,Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models),Meta Llama (all models);openAI GPT (chatbot models)
104,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;H2;PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Docker;Maven (build tool);npm;Terraform;Yarn,Amazon Web Services (AWS);Docker;npm;Terraform;Yarn,Angular;AngularJS;Express;jQuery;Next.js;Node.js;React,Angular;Express;Next.js;React,Cursor;Eclipse;Vim;Visual Studio Code,Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet
105,Bash/Shell (all shells);C;Fortran;Python,Bash/Shell (all shells);C;Python,,,,,,,,,,
106,C#;PowerShell;SQL,,Microsoft SQL Server;PostgreSQL,,Docker;Microsoft Azure;MSBuild;NuGet,,ASP.NET;ASP.NET Core;Blazor,,Cursor;Notepad++;Rider;Visual Studio;Visual Studio Code,,openAI GPT (chatbot models),
107,HTML/CSS;JavaScript;Python;SQL,,,,,,Drupal;Node.js;WordPress,,Sublime Text;Visual Studio Code;Xcode,,openAI GPT (chatbot models),
108,Bash/Shell (all shells);Go;Python,,PostgreSQL;SQLite,DuckDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Ansible;Kubernetes;Pip;Podman,Ansible;Kubernetes;Podman,Django,Django;Vue.js,Cursor;PyCharm;Zed,PyCharm,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models),Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Mistral AI models
109,C#;HTML/CSS;JavaScript;SQL;TypeScript,,Cosmos DB;Microsoft SQL Server;SQLite,,Microsoft Azure;npm;NuGet,,Angular;ASP.NET Core,,Notepad++;Visual Studio;Visual Studio Code,,,
110,Bash/Shell (all shells);C#;C++;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;TypeScript,Microsoft SQL Server;SQLite,PostgreSQL,Microsoft Azure;MSBuild;npm;NuGet;Vite,Docker;pnpm,Angular;ASP.NET;ASP.NET Core;Blazor;Node.js,Angular;ASP.NET Core,Cursor;Notepad++;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Pro Reasoning models);Meta Llama (all models);openAI GPT (chatbot models),
111,C#;JavaScript;Kotlin;PowerShell;SQL;TypeScript;Visual Basic (.Net),C++;GDScript,Cosmos DB;Microsoft SQL Server;MySQL;Redis,Cassandra,Chocolatey;Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Vite,Amazon Web Services (AWS);Ansible;Prometheus;Terraform,ASP.NET;ASP.NET Core;Svelte,,Visual Studio;Visual Studio Code,,openAI GPT (chatbot models);openAI Reasoning models,
112,,,,,,,,,,,,
113,VBA,Python;VBA,,,,,,,,,,
114,,,,,,,,,,,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models;X Grok models,
115,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;SQL;TypeScript,Cloud Firestore;MongoDB;PostgreSQL;SQLite;Supabase,PostgreSQL;SQLite;Supabase;Clickhouse,Amazon Web Services (AWS);APT;Cloudflare;Docker;Firebase;Google Cloud;Microsoft Azure;Supabase;Vercel;Vite;Yarn,APT;Cloudflare;Google Cloud;Vite;Yarn,Deno;Express;FastAPI;Fastify;Node.js;Nuxt.js;React;Vue.js,Vue.js,Bolt;Cursor;Lovable.dev;Visual Studio Code;Windsurf,Visual Studio Code;Windsurf,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models
116,HTML/CSS;JavaScript;SQL;TypeScript,Go;Lua;Python,MySQL,PostgreSQL;SQLite,Docker;Google Cloud;Terraform;Vercel,Docker;Vite,Next.js;Node.js;React,Deno;Django;FastAPI;Svelte;Vue.js,Claude Code;Cursor;Neovim,Neovim,Anthropic: Claude Sonnet,
117,,,,,Maven (build tool),Amazon Web Services (AWS);Google Cloud;Maven (build tool);Microsoft Azure,,,,,,
118,Bash/Shell (all shells);C;C++;Fortran;Python,Bash/Shell (all shells);C;C++;Fortran;Python;Zig,,,Ansible;APT;Docker;Make;Ninja;Pacman;Pip;Podman,Ansible;APT;Docker;Make;Ninja;Pacman;Pip;Podman,,,IntelliJ IDEA;Nano;Neovim;Vim;Visual Studio Code,IntelliJ IDEA;Nano;Neovim;Vim;Visual Studio Code,,
119,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Assembly;C;Elixir;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Ansible;Cargo;Docker;Make;npm;Pip;Poetry;Vite,Cargo;Docker;Kubernetes;Make;Podman;Poetry;Vite,FastAPI;Svelte;Axum,FastAPI;Phoenix;Svelte;Vue.js;Axum,Neovim;Vim;Visual Studio Code;VSCodium,Neovim;Vim;Visual Studio Code;VSCodium,,
120,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL,MySQL;Oracle;PostgreSQL;Clickhouse,MySQL;Oracle;PostgreSQL;Clickhouse,Amazon Web Services (AWS);Ansible;Docker,Docker,FastAPI;Flask;React,FastAPI;Flask,Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models),openAI GPT (chatbot models)
121,Bash/Shell (all shells);C++;COBOL;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Visual Basic (.Net),Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,,,ASP.NET;Express;jQuery;Node.js;Ruby on Rails;Vue.js;WordPress,Angular;AngularJS;Express;jQuery;Laravel;Node.js;React;Vue.js;WordPress,Android Studio;Eclipse;IntelliJ IDEA;Notepad++;PhpStorm;Vim;Visual Studio;Visual Studio Code,Eclipse;IntelliJ IDEA;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,,
122,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,,,ASP.NET,ASP.NET,Visual Studio,Visual Studio,,
123,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,,Cassandra;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,Amazon Web Services (AWS);Chocolatey;Composer;Docker;Firebase;Gradle;Homebrew;Kubernetes;MSBuild;NuGet;Pip;Yarn,,ASP.NET;ASP.NET Core;jQuery;Laravel;Next.js;Node.js;React;Spring Boot,,Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode,,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,
124,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,,Dynamodb;MySQL;PostgreSQL;Redis,,Amazon Web Services (AWS);Ansible;Composer;Docker;Homebrew;Make;npm;Pip;Vite;Yarn,,FastAPI;Flask;Laravel;Node.js;React;Symfony;Vue.js,,Claude Code;Nano;Vim;Visual Studio Code,,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models,
125,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Kotlin;Lua;Python;Rust;TypeScript;Zig,SQLite,DuckDB;Elasticsearch;Snowflake;SQLite;Clickhouse;Cockroachdb,Amazon Web Services (AWS);Docker;Homebrew;Kubernetes;Make;npm;Pacman;Pip;pnpm;Podman;Poetry;Prometheus;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS);Ansible;Cargo;Cloudflare;Docker;Kubernetes;npm;pnpm;Podman;Poetry;Prometheus;Terraform;Webpack;Yarn,Next.js;Node.js;React,Deno;Node.js;React,Jupyter Notebook/JupyterLab;Visual Studio Code,Claude Code;Cursor;Visual Studio Code;VSCodium;Windsurf,,
126,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,PostgreSQL,,APT;Docker;Google Cloud;Gradle;Homebrew;Kubernetes;Make;Netlify;npm;Pip;Vercel;Vite;Webpack;Yarn,Docker;npm;Vercel;Vite;Webpack;Yarn,Angular;Express;NestJS;Next.js;Node.js;React,Next.js;Node.js;React,Android Studio;Visual Studio Code;Xcode,Visual Studio Code,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
127,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,,,,,Astro;Express;Next.js;React;WordPress,Astro;Express;Next.js;React;WordPress,Cursor;Visual Studio Code,Visual Studio Code,,
128,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;MicroPython;Python;SQL,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Python;Rust;SQL,Firebase Realtime Database;Oracle;PostgreSQL;SQLite,PostgreSQL;SQLite,Docker;Firebase;npm;NuGet;Pacman;Pip;Vite,Docker;npm;Pacman;Pip;Vite,Django;Node.js;React,Django;Flask;Node.js;React;Spring Boot,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;Neovim;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code;WebStorm;Zed,Neovim,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models
129,C#;HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;Python;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;NuGet,,Blazor;Django;Next.js;React,Django,Visual Studio;Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models),
130,Bash/Shell (all shells);Java;Kotlin;Python;SQL,Go;Java;Python;SQL,Elasticsearch;H2;MariaDB;MongoDB;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Docker;Gradle;Kubernetes;Maven (build tool);Prometheus,Docker;Gradle;Kubernetes,,,IntelliJ IDEA;Notepad++;PyCharm;Sublime Text;Vim;WebStorm,IntelliJ IDEA;Sublime Text,,
131,Bash/Shell (all shells);C++;Go;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,C;C++;Go,Oracle;SQLite,SQLite,Docker;Make;npm;Pip;Podman,Docker;Make,Express;FastAPI;Node.js,,Android Studio;Neovim;Vim,Neovim;Vim,,
132,C#;Go;PowerShell;Python;TypeScript,C#;TypeScript,Dynamodb;Elasticsearch;PostgreSQL;Snowflake;SQLite;Supabase,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Make;MSBuild;npm;NuGet;Pip;Poetry;Supabase;Vite;Yarn,Amazon Web Services (AWS);Cloudflare;Make;MSBuild;NuGet;Vite;Yarn,ASP.NET,ASP.NET,Aider;Claude Code;Cursor;IntelliJ IDEA;Rider;Visual Studio;Visual Studio Code;WebStorm,Claude Code;IntelliJ IDEA;Rider;Visual Studio Code;WebStorm,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Meta Llama (all models);Mistral AI models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Meta Llama (all models);Mistral AI models
